Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1990-01-01,-7.8,-1.21,0.83,-1.12,1.4,0.57
1990-02-01,1.11,1.15,0.65,-0.04,-0.61,0.57
1990-03-01,1.83,1.59,-2.9,1.99,-0.94,0.64
1990-04-01,-3.36,-0.35,-2.57,1.78,-1.0,0.69
1990-05-01,8.44,-2.41,-3.89,1.68,-1.63,0.68
1990-06-01,-1.09,1.31,-2.0,-0.99,-0.39,0.63
1990-07-01,-1.9,-3.15,-0.06,-0.1,3.21,0.68
1990-08-01,-10.13,-3.79,1.56,-0.48,2.99,0.66
1990-09-01,-6.11,-3.72,0.59,0.03,3.62,0.6
1990-10-01,-1.91,-5.06,0.08,3.17,-0.25,0.68
1990-11-01,6.35,0.02,-2.97,0.58,-4.71,0.57
1990-12-01,2.48,0.6,-1.57,2.66,-1.98,0.6
1991-01-01,4.69,3.87,-1.48,1.34,-4.07,0.52
1991-02-01,7.21,4.02,-0.62,-0.06,-0.34,0.48
1991-03-01,2.67,3.81,-1.3,-0.52,-0.99,0.44
1991-04-01,-0.29,0.35,1.49,0.67,0.81,0.53
1991-05-01,3.66,0.14,-0.52,2.07,-2.36,0.47
1991-06-01,-4.94,0.3,1.08,1.75,0.68,0.42
1991-07-01,4.24,-1.0,-1.3,1.6,-1.44,0.49
1991-08-01,2.32,1.42,-0.79,0.85,-0.32,0.46
1991-09-01,-1.59,1.58,-1.23,-1.77,-0.04,0.46
1991-10-01,1.29,0.85,-0.43,-1.65,-0.3,0.42
1991-11-01,-4.2,-0.88,-1.77,1.1,-0.12,0.39
1991-12-01,10.86,-2.41,-4.23,3.67,-3.14,0.38
1992-01-01,-0.59,9.19,4.67,-1.17,3.25,0.34
1992-02-01,1.09,1.3,6.51,0.07,2.25,0.28
1992-03-01,-2.66,-0.89,3.49,-0.06,1.82,0.34
1992-04-01,1.09,-5.75,4.36,1.65,2.4,0.32
1992-05-01,0.3,0.2,1.11,-0.91,0.49,0.28
1992-06-01,-2.33,-2.76,3.24,-0.06,0.95,0.32
1992-07-01,3.78,-0.65,-0.51,1.24,-0.97,0.31
1992-08-01,-2.38,-0.39,-1.09,3.66,-1.64,0.26
1992-09-01,1.19,0.47,-0.19,1.61,-0.68,0.26
1992-10-01,1.02,2.09,-1.98,1.19,-0.91,0.23
1992-11-01,4.14,3.88,-1.52,-0.54,-1.58,0.23
1992-12-01,1.53,1.65,2.64,-0.52,0.83,0.28
1993-01-01,0.93,1.94,5.9,-1.9,2.94,0.23
1993-02-01,0.12,-3.37,6.48,-0.47,4.15,0.22
1993-03-01,2.32,0.09,1.26,-0.22,0.82,0.25
1993-04-01,-3.05,-0.81,2.55,-3.69,1.38,0.24
1993-05-01,2.89,1.94,-3.46,-0.14,-1.03,0.22
1993-06-01,0.3,0.12,2.64,-0.91,1.16,0.25
1993-07-01,-0.34,0.96,2.87,-1.84,2.05,0.24
1993-08-01,3.72,0.08,0.18,-1.52,0.04,0.25
1993-09-01,-0.12,3.02,-0.24,0.25,-0.19,0.26
1993-10-01,1.41,1.86,-2.78,0.61,0.56,0.22
1993-11-01,-1.86,-1.31,-0.78,2.19,-1.03,0.25
1993-12-01,1.65,1.35,0.25,1.14,-0.35,0.23
1994-01-01,2.87,-0.05,1.1,-1.54,1.39,0.25
1994-02-01,-2.55,2.62,-1.52,2.08,-0.94,0.21
1994-03-01,-4.79,-1.03,1.67,0.65,1.39,0.27
1994-04-01,0.68,-1.0,1.66,1.05,1.14,0.27
1994-05-01,0.58,-2.49,0.6,0.64,0.6,0.32
1994-06-01,-3.04,-0.52,1.77,1.05,1.5,0.31
1994-07-01,2.82,-1.87,0.61,-0.66,0.1,0.28
1994-08-01,4.02,1.44,-2.55,0.98,-1.52,0.37
1994-09-01,-2.28,2.71,-1.81,0.56,1.06,0.37
1994-10-01,1.35,-2.22,-1.66,0.18,-0.73,0.38
1994-11-01,-4.03,0.09,-0.73,0.48,-0.53,0.37
1994-12-01,0.86,-0.05,-0.09,0.4,0.36,0.44
1995-01-01,1.8,-3.07,2.59,0.15,-0.65,0.42
1995-02-01,3.63,-0.49,0.99,0.61,-0.4,0.4
1995-03-01,2.19,-0.53,-2.13,-0.13,0.23,0.46
1995-04-01,2.11,-0.26,1.67,0.43,0.82,0.44
1995-05-01,2.9,-2.17,2.28,0.41,0.01,0.54
1995-06-01,2.72,3.05,-2.54,-0.23,-2.39,0.47
1995-07-01,3.71,2.12,-1.58,0.22,-1.58,0.45
1995-08-01,0.55,1.7,2.68,-1.17,1.49,0.47
1995-09-01,3.36,-1.86,-0.11,0.99,0.4,0.43
1995-10-01,-1.51,-4.07,-0.49,1.93,-0.1,0.47
1995-11-01,3.96,-1.06,0.52,-0.57,1.0,0.42
1995-12-01,1.04,0.65,0.24,-1.44,3.02,0.49
1996-01-01,2.26,-2.64,0.46,0.26,2.3,0.43
1996-02-01,1.33,1.77,-1.05,0.16,-1.89,0.39
1996-03-01,0.74,1.56,0.42,1.44,-0.95,0.39
1996-04-01,2.05,4.7,-3.97,-0.2,-2.03,0.46
1996-05-01,2.36,3.23,-0.9,0.03,-0.33,0.42
1996-06-01,-1.13,-3.67,2.33,3.5,1.2,0.4
1996-07-01,-5.96,-3.78,5.19,2.9,2.68,0.45
1996-08-01,2.77,2.58,-0.82,-0.38,-2.47,0.41
1996-09-01,5.01,-1.41,-2.74,1.3,-2.13,0.44
1996-10-01,0.87,-3.79,4.88,1.38,2.97,0.42
1996-11-01,6.25,-3.82,1.4,2.06,-0.69,0.41
1996-12-01,-1.7,3.19,1.28,0.23,1.49,0.46
1997-01-01,4.97,-1.82,-1.44,1.22,-0.07,0.45
1997-02-01,-0.48,-2.54,5.61,0.72,3.47,0.39
1997-03-01,-5.02,-0.41,3.39,0.39,1.53,0.43
1997-04-01,4.04,-5.7,0.0,3.36,-1.02,0.43
1997-05-01,6.73,4.68,-4.11,-1.04,-2.76,0.49
1997-06-01,4.1,1.17,1.44,0.56,0.45,0.37
1997-07-01,7.31,-2.74,0.13,0.18,-2.56,0.43
1997-08-01,-4.09,7.5,1.13,-1.02,-0.17,0.41
1997-09-01,5.34,2.48,0.24,-1.58,-0.93,0.44
1997-10-01,-3.81,-0.56,2.33,0.75,2.01,0.42
1997-11-01,2.99,-5.01,1.22,3.08,1.73,0.39
1997-12-01,1.36,-2.09,3.74,0.64,1.95,0.48
1998-01-01,0.14,-1.28,-1.68,0.91,-0.62,0.43
1998-02-01,7.04,0.05,-0.93,-0.37,-2.58,0.39
1998-03-01,4.76,-0.73,1.38,-0.55,-0.23,0.39
1998-04-01,0.74,0.01,1.03,-1.68,-0.36,0.43
1998-05-01,-3.05,-3.0,3.41,1.03,2.47,0.4
1998-06-01,3.21,-3.61,-2.03,-0.26,-3.03,0.41
1998-07-01,-2.42,-5.2,-1.83,1.64,0.76,0.4
1998-08-01,-16.05,-4.97,3.57,3.35,5.78,0.43
1998-09-01,6.19,-0.89,-3.51,-1.84,-2.84,0.46
1998-10-01,6.98,-3.36,-2.33,0.88,0.18,0.32
1998-11-01,6.07,0.76,-3.24,-0.92,-0.92,0.31
1998-12-01,6.15,-1.5,-4.25,-0.69,-3.26,0.38
1999-01-01,3.47,-0.82,-4.46,-2.8,-6.41,0.35
1999-02-01,-4.08,-5.15,1.95,-1.23,4.08,0.35
1999-03-01,3.48,-4.37,-2.61,-4.05,-1.07,0.43
1999-04-01,4.34,4.52,2.4,-2.47,0.84,0.37
1999-05-01,-2.46,3.75,2.49,0.95,3.18,0.34
1999-06-01,4.77,2.34,-3.22,0.93,-2.91,0.4
1999-07-01,-3.49,2.54,-0.18,0.29,3.27,0.38
1999-08-01,-1.37,-1.67,-1.93,-0.24,0.72,0.39
1999-09-01,-2.77,2.48,-2.9,-0.96,-0.99,0.39
1999-10-01,6.09,-7.13,-2.88,-1.75,-0.87,0.39
1999-11-01,3.41,5.69,-5.65,-4.18,-1.84,0.36
1999-12-01,7.66,5.1,-7.66,-8.0,-5.87,0.44
2000-01-01,-4.74,4.21,-1.12,-6.15,4.56,0.41
2000-02-01,2.45,18.46,-9.77,-18.95,-1.13,0.43
2000-03-01,5.21,-15.54,8.5,11.65,-1.2,0.47
2000-04-01,-6.35,-4.75,6.45,8.07,5.63,0.46
2000-05-01,-4.39,-3.86,4.59,4.05,1.47,0.5
2000-06-01,4.68,9.95,-8.04,-8.31,-3.17,0.4
2000-07-01,-2.48,-0.94,8.06,5.72,2.98,0.48
2000-08-01,7.03,-0.95,-1.37,-3.06,1.21,0.5
2000-09-01,-5.44,0.27,7.24,2.7,5.54,0.51
2000-10-01,-2.78,-2.58,5.58,9.54,3.71,0.56
2000-11-01,-10.7,-0.35,12.24,13.05,8.35,0.51
2000-12-01,1.18,3.26,7.55,1.92,4.82,0.5
2001-01-01,3.25,5.23,-5.05,-5.2,-5.21,0.54
2001-02-01,-10.03,2.87,12.23,9.12,9.01,0.38
2001-03-01,-7.25,2.33,6.47,3.34,3.72,0.42
2001-04-01,7.94,-0.88,-4.64,-3.18,-3.19,0.39
2001-05-01,0.68,3.55,3.38,0.29,1.95,0.32
2001-06-01,-1.94,6.69,-1.26,1.57,-1.67,0.28
2001-07-01,-2.13,-2.86,4.95,7.29,2.9,0.3
2001-08-01,-6.4,2.54,2.86,3.81,6.53,0.31
2001-09-01,-9.24,-5.74,1.52,5.03,3.35,0.28
2001-10-01,2.48,5.34,-7.31,-2.98,-4.36,0.22
2001-11-01,7.53,-0.36,2.17,-3.49,-1.68,0.17
2001-12-01,1.61,5.11,0.83,0.26,-0.28,0.15
2002-01-01,-1.44,1.28,3.42,4.73,2.83,0.14
2002-02-01,-2.28,-0.38,2.34,8.03,5.1,0.13
2002-03-01,4.24,4.15,1.08,-1.83,0.66,0.13
2002-04-01,-5.21,6.63,4.01,4.59,5.35,0.15
2002-05-01,-1.36,-3.07,1.52,2.31,2.53,0.14
2002-06-01,-7.23,3.76,0.37,3.92,2.66,0.13
2002-07-01,-8.19,-6.33,-3.51,3.84,-1.1,0.15
2002-08-01,0.5,-1.28,3.01,1.37,-1.4,0.14
2002-09-01,-10.34,3.05,1.26,3.29,-2.29,0.14
2002-10-01,7.84,-4.29,-3.76,-3.16,0.73,0.14
2002-11-01,5.96,2.94,-1.16,-9.25,5.16,0.12
2002-12-01,-5.76,0.55,2.11,6.32,-1.79,0.11
2003-01-01,-2.57,0.71,-0.79,-0.93,0.69,0.1
2003-02-01,-1.88,-0.87,-1.36,0.79,-0.68,0.09
2003-03-01,1.09,0.77,-2.11,1.68,-0.81,0.1
2003-04-01,8.18,1.14,1.22,-4.68,0.98,0.1
2003-05-01,6.05,4.78,0.7,-6.94,3.07,0.09
2003-06-01,1.42,1.65,0.14,0.44,-0.4,0.1
2003-07-01,2.33,4.4,-1.53,-3.89,1.52,0.07
2003-08-01,2.33,2.37,1.64,-2.29,2.15,0.07
2003-09-01,-1.24,0.57,0.14,0.9,0.41,0.08
2003-10-01,6.08,2.63,2.21,-1.38,1.65,0.07
2003-11-01,1.35,2.31,1.72,0.21,1.68,0.07
2003-12-01,4.29,-2.51,1.51,0.57,0.85,0.08
2004-01-01,2.15,2.46,2.42,-3.6,3.33,0.07
2004-02-01,1.4,-0.92,0.95,2.13,-1.17,0.06
2004-03-01,-1.32,2.11,0.23,1.65,-0.98,0.09
2004-04-01,-1.82,-2.06,-3.23,3.46,-2.83,0.08
2004-05-01,1.18,-0.4,-0.18,-1.17,0.01,0.06
2004-06-01,1.86,2.52,1.21,1.12,-0.31,0.08
2004-07-01,-4.04,-2.92,3.22,5.21,-1.68,0.1
2004-08-01,0.08,-1.18,1.08,1.21,-1.35,0.11
2004-09-01,1.6,3.22,-0.05,-1.49,-1.72,0.11
2004-10-01,1.42,0.15,-0.26,-0.53,0.41,0.11
2004-11-01,4.53,4.12,1.57,-0.52,-0.18,0.15
2004-12-01,3.41,-0.04,-0.23,-1.07,0.39,0.16
2005-01-01,-2.75,-1.11,2.06,2.8,-1.41,0.16
2005-02-01,1.88,-0.3,1.41,1.32,-0.21,0.16
2005-03-01,-1.93,-1.41,2.07,0.44,1.34,0.21
2005-04-01,-2.6,-3.97,0.05,0.97,-0.85,0.21
2005-05-01,3.65,2.76,-0.58,-1.02,0.28,0.24
2005-06-01,0.58,3.26,2.8,0.87,-0.52,0.23
2005-07-01,3.92,2.76,-0.78,-1.19,-0.78,0.24
2005-08-01,-1.2,-0.94,1.34,-1.96,0.38,0.3
2005-09-01,0.48,-0.31,0.78,0.26,-0.61,0.29
2005-10-01,-2.04,-1.5,0.43,-0.7,-1.26,0.27
2005-11-01,3.61,0.9,-1.19,-0.79,-1.09,0.31
2005-12-01,-0.24,-0.25,0.15,0.18,0.2,0.32
2006-01-01,3.03,5.83,0.99,-0.66,-0.35,0.35
2006-02-01,-0.3,-0.46,-0.31,-0.54,1.98,0.34
2006-03-01,1.47,3.34,0.61,0.03,-0.44,0.37
2006-04-01,0.73,-0.79,2.26,1.74,-0.13,0.36
2006-05-01,-3.56,-2.9,2.38,0.87,1.53,0.43
2006-06-01,-0.34,-0.24,0.85,1.32,-0.13,0.4
2006-07-01,-0.77,-3.6,2.62,1.63,0.84,0.4
2006-08-01,2.03,0.45,-1.95,-1.81,2.14,0.42
2006-09-01,1.84,-1.39,0.06,0.78,0.46,0.41
2006-10-01,3.22,1.98,-0.33,-0.11,0.32,0.41
2006-11-01,1.7,0.63,0.04,0.2,-0.8,0.42
2006-12-01,0.85,-0.81,2.74,-0.65,1.88,0.4
2007-01-01,1.38,0.02,-0.68,0.19,0.4,0.44
2007-02-01,-1.96,1.33,-0.08,-0.52,-0.66,0.38
2007-03-01,0.71,0.14,-0.88,0.55,-0.67,0.43
2007-04-01,3.49,-2.08,-1.44,1.18,1.01,0.44
2007-05-01,3.24,0.33,-0.59,1.47,-1.26,0.41
2007-06-01,-1.96,0.7,-1.05,0.49,0.06,0.4
2007-07-01,-3.72,-3.05,-3.68,0.26,-1.16,0.4
2007-08-01,0.94,-0.33,-1.87,-1.27,-0.57,0.42
2007-09-01,3.22,-2.44,-2.17,-0.49,-2.94,0.32
2007-10-01,1.79,-0.03,-2.87,-0.33,0.06,0.32
2007-11-01,-4.8,-2.91,-1.09,1.75,-0.36,0.34
